Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
CogComp,CogComp,"0,9320","0,9304","0,9309","0,9320","4,6044","302,7313",1,"0,0060","0,0060","0,0054","0,0060",1
CogComp,CogComp+SimpleQuestions,"0,9232","0,9227","0,9255","0,9232","4,5874","3539,7991",1,"0,0027","0,0028","0,0020","0,0027",2
CogComp,CogComp+WebQuestions,"0,9232","0,9235","0,9257","0,9232","4,5911","535,0952",1,"0,0065","0,0063","0,0059","0,0065",2
CogComp,CogComp+WebQuestions+SimpleQuestions,"0,9171","0,9175","0,9205","0,9171","4,6235","3778,3870",1,"0,0148","0,0148","0,0143","0,0148",3
CogComp,LC-QuAD,"0,4782","0,4267","0,4876","0,4782","4,6786","158,1254",0,"0,0321","0,0288","0,0261","0,0321",1
CogComp,LC-QuAD+CogComp,"0,9215","0,9213","0,9232","0,9215","4,6212","447,6180",1,"0,0058","0,0059","0,0055","0,0058",2
CogComp,LC-QuAD+CogComp+SimpleQuestions,"0,8753","0,8795","0,8967","0,8753","4,6074","3679,8196",1,"0,0180","0,0161","0,0118","0,0180",3
CogComp,LC-QuAD+CogComp+WebQuestions,"0,9166","0,9174","0,9205","0,9166","4,5978","679,8727",1,"0,0077","0,0067","0,0059","0,0077",3
CogComp,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8943","0,8964","0,9052","0,8943","4,5983","3926,4067",1,"0,0110","0,0103","0,0081","0,0110",4
CogComp,LC-QuAD+QALD,"0,5636","0,5385","0,5751","0,5636","4,5998","189,2148",0,"0,0173","0,0262","0,0284","0,0173",2
CogComp,LC-QuAD+QALD+CogComp,"0,9249","0,9249","0,9267","0,9249","4,5855","477,5378",1,"0,0039","0,0037","0,0036","0,0039",3
CogComp,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8672","0,8700","0,8873","0,8672","4,6222","3722,5693",1,"0,0302","0,0281","0,0164","0,0302",4
CogComp,LC-QuAD+QALD+CogComp+WebQuestions,"0,9160","0,9165","0,9189","0,9160","4,6344","713,0478",1,"0,0032","0,0037","0,0041","0,0032",4
CogComp,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8628","0,8665","0,8878","0,8628","4,6614","3946,8700",1,"0,0140","0,0136","0,0070","0,0140",5
CogComp,LC-QuAD+QALD+SimpleQuestions,"0,5590","0,5273","0,6190","0,5590","4,5771","3420,0159",0,"0,0094","0,0082","0,0502","0,0094",3
CogComp,LC-QuAD+QALD+WebQuestions,"0,6028","0,5845","0,6375","0,6028","4,6096","420,1133",0,"0,0064","0,0110","0,0221","0,0064",3
CogComp,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,5823","0,5457","0,6074","0,5823","4,5931","3660,0199",0,"0,0141","0,0127","0,0112","0,0141",4
CogComp,LC-QuAD+SimpleQuestions,"0,5184","0,4751","0,5909","0,5184","4,5971","3384,1846",0,"0,0108","0,0076","0,0744","0,0108",2
CogComp,LC-QuAD+WebQuestions,"0,5948","0,5841","0,6491","0,5948","4,5739","390,2389",0,"0,0118","0,0176","0,0279","0,0118",2
CogComp,LC-QuAD+WebQuestions+SimpleQuestions,"0,5773","0,5450","0,6445","0,5773","4,6184","3640,6518",0,"0,0121","0,0122","0,0357","0,0121",3
