question;questionText;type
urn:LCQuAD:id:4635;What is the occupation of the Irving Chernev and Karen Grigorian?;Activity
urn:LCQuAD:id:2527;What sport amongst the one Lagos Preparatory School practices, did Willian Garne play for?;Activity
urn:LCQuAD:id:151;Which sports are played at institues in Taguig?;Activity
urn:LCQuAD:id:4863;List the common sports between Fr. Agnel Multipurpose School  and Jamiatu Muslim Mindanao;Activity
urn:LCQuAD:id:4058;What is the game whose genre is Mind sport?;Activity
urn:LCQuAD:id:1351;What is the field of the Jon Speelman and occupation of the Karen Grigorian?;Activity
urn:LCQuAD:id:2932;What are the sports played by the universities who also plays taekwondo ?;Activity
urn:LCQuAD:id:1867;What made Jon Speelman and Eric Schiller famous?;Activity
urn:LCQuAD:id:2067;Name the sports played by Fr. Agnel Multipurpose School and Junior College?;Activity
urn:LCQuAD:id:2078;What games are played at universities in Lanao Del Sur?;Activity
urn:LCQuAD:id:2525;What sports are played at institutes affiliated by the Association of Southeast Asian Institutes of Higher Learning?;Activity
urn:LCQuAD:id:693;Which board game can be said as a mind based game?;Activity
urn:LCQuAD:id:1569;Where were some people associated with Steve Winwood employed at?;Activity
urn:LCQuAD:id:2980;What sports are played at Vishwajyot High School?;Activity
urn:LCQuAD:id:937;Which non fiction of the Thud is also the field of the Jon Speelman ?;Activity
urn:LCQuAD:id:1444;What sports are played at universities affiliated by States Colleges and Universities athletic association?;Activity
urn:LCQuAD:id:1162;Name the sports played by Jamiatu Muslim Mindanao?;Activity
urn:LCQuAD:id:4099;What did other artists associated with the Shirelles make?;Activity
urn:LCQuAD:id:156;What are the kind of games one can play on windows?;Activity
urn:LCQuAD:id:2603;Name the common sports played at Polytechnic University of Philippines San Juan and Islamic Azad University?;Activity
urn:LCQuAD:id:1732;Of the sports commonly played at Islamic Azad Uni, tehran, which one does Jon Speelman play?;Activity
urn:LCQuAD:id:2380;What sports are played in schools in Vashi?;Activity
urn:LCQuAD:id:865;What sport has made Eric Schiller famous, and has employed Craig Van Tibury?;Activity
urn:LCQuAD:id:3298;What do craig Van tilbury and karen Grigorian do for a living?;Activity
urn:LCQuAD:id:4829;Where the children of Ashot Grashi employed at?;Activity
urn:LCQuAD:id:3371;What is the occupation of the band members of The Shirelles?;Activity
urn:LCQuAD:id:2440;Which job of Irving Chernev is the non-fiction subject of the Thud ?;Activity
urn:LCQuAD:id:4048;List the sports played in private universities.;Activity
urn:LCQuAD:id:2649;What sport is Eric Schiller known for, and employes Craig Van Tibury?;Activity
urn:LCQuAD:id:3536;What sport played in Polytechnic uni of San Juan has also made advocate nasiruddin famous?;Activity
urn:LCQuAD:id:3837;Which sports exist in the universities whose president is Emanuel de Guzman?;Activity
urn:LCQuAD:id:2068;Which athletics of Jaimatu Muslim Mindano is same as the genre of the Fritz Chess ?;Activity
urn:LCQuAD:id:3691;What are the common sports played by jamiatu Muslim mindanao and Polytechnic University of Philippines Taguig ?;Activity
urn:LCQuAD:id:359;What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov?;Activity
urn:LCQuAD:id:892;What are the things Eric Schiller known for ?;Activity
urn:LCQuAD:id:1297;What games can be played in schools founded by Fr. Orlando?;Activity
urn:LCQuAD:id:3619;What kind of games does Blizzard games develop?;Activity
urn:LCQuAD:id:148;what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School?;Activity
urn:LCQuAD:id:2653;What is the river whose mouth is in deadsea?;Place
urn:LCQuAD:id:589;What is the region of Tom Perriello ?;Place
urn:LCQuAD:id:3351;In which part of the world can i find Xynisteri and Mavro?;Place
urn:LCQuAD:id:4615;In which countries can i find some feminist writers?;Place
urn:LCQuAD:id:79;Where is the swedish covenant hospital?;Place
urn:LCQuAD:id:931;Which country s largest city is Lima?;Place
urn:LCQuAD:id:1090;Where is Emmett Hughes from?;Place
urn:LCQuAD:id:4487;What is the layout of the cars similar to that of the Subaru Outback?;Place
urn:LCQuAD:id:3580;In which country is the Duong river?;Place
urn:LCQuAD:id:3591;Whose album is Haiti, I am sorry?;Place
urn:LCQuAD:id:3008;Which river s source place is Gloucestershire and mouth in North Sea?;Place
urn:LCQuAD:id:4624;Name the regions served by Toll Global Express ?;Place
urn:LCQuAD:id:2886;What is the protected area whose nearest city is Kenya?;Place
urn:LCQuAD:id:2483;Where are Solidus and Aureus used?;Place
urn:LCQuAD:id:3789;What is the nationality of the chancellor who was served by Michael Mayr?;Place
urn:LCQuAD:id:691;List the ceremonial county of East Tilbury ?;Place
urn:LCQuAD:id:1321;List everything governed by the Democratic Party of US?;Place
urn:LCQuAD:id:1782;Which home stadium of 2011-12 FC Spartak Moscow season is also the location of birth of the Svetlana Gounkina ?;Place
urn:LCQuAD:id:4118;Where is the stadium of Philadelphia Rage ?;Place
urn:LCQuAD:id:2016;What is the resting place of the politician who succeeded Samuel Hayes?;Place
urn:LCQuAD:id:2584;What is the state of the administrative region where Oscoda, Michigan is located?;Place
urn:LCQuAD:id:2727;Where do bachelor of arts live?;Place
urn:LCQuAD:id:1293;List the awards given to the race horses bred by Willis Sharpe Kilmer.;Place
urn:LCQuAD:id:3523;Name the parts of the settlements which has New Braunfels as one of the parts ?;Place
urn:LCQuAD:id:2809;What is the death location of the scientist who is the known authority of Hallopus ?;Place
urn:LCQuAD:id:1397;Which state s largest city is Omaha?;Place
urn:LCQuAD:id:2948;Name the tiemzone of Banlung ?;Place
urn:LCQuAD:id:3001;What are some seas inside europe ?;Place
urn:LCQuAD:id:3928;What countries used Solidus as currency?;Place
urn:LCQuAD:id:1108;Which source of broad creek is the Audenried tunnel located ?;Place
urn:LCQuAD:id:2423;What is the river that falls into North Sea and Thames Estuary?;Place
urn:LCQuAD:id:4281;Which range of mountains are there in canton of Fribourg?;Place
urn:LCQuAD:id:3066;Where did the film director of Kala Pani die?;Place
urn:LCQuAD:id:2317;What is the Ceremonial County of Port of Tilbury ?;Place
urn:LCQuAD:id:4741;Name the part of Liverpool city region >;Place
urn:LCQuAD:id:2110;What are the source of the streams whose one of the source is Calera, Oklahoma?;Place
urn:LCQuAD:id:4587;Name the river mouth of Moordener Kill ?;Place
urn:LCQuAD:id:233;What railway lines go through the stations maintained by Western Australian Public Transport Authority?;Place
urn:LCQuAD:id:4192;Name some local authorities of schools which have a mixed gender education system?;Place
urn:LCQuAD:id:803;Name the serving line of Daund Junction railway station?;Place
urn:LCQuAD:id:4190;What is the county seat of the district through which the Beckler River flows?;Place
urn:LCQuAD:id:1135;Which wine region of Bogdanua is the Croatian Inline hockey team part of ?;Place
urn:LCQuAD:id:3604;From where does the river start, which flows into the Conowingo dam?;Place
urn:LCQuAD:id:765;Name the home town of Cline Buckens ?;Place
urn:LCQuAD:id:2460;List all the wine regions of the grapes whose one of the wine region is Mississippi ?;Place
urn:LCQuAD:id:3137;Which citys mayor is anne hidalgo?;Place
urn:LCQuAD:id:3526;name the home stadium of FC Spartak Moscow season 2011-12;Place
urn:LCQuAD:id:3692;Among the countries using Aureus as currency which had Nicomedia as an important place ?;Place
urn:LCQuAD:id:1244;What is the style of architecture of Pontiac Building ?;Place
urn:LCQuAD:id:2347;Where did the conflict take place in which Henri Putz fought?;Place
urn:LCQuAD:id:2119;List all crafts of the people whose one of the profession is Kingdom of Naples ?;Place
urn:LCQuAD:id:3819;Matthew kane and Park rankin are citizens of which country?;Place
urn:LCQuAD:id:3927;What is the county seat of the county which has an Evergreen High School?;Place
urn:LCQuAD:id:3259;Through which states does the road go, which has a junction on Keningston Maryland?;Place
urn:LCQuAD:id:1168;Name the river passing through Reading Berkshire and has mouth place at Essex ?;Place
urn:LCQuAD:id:4870;Which city is the route start of the Moscow-Kazan high-speed railway and birth place of the Ilya Savelev ?;Place
urn:LCQuAD:id:2685;Where did the people beatified by Pope Pius X die?;Place
urn:LCQuAD:id:4650;Where did the people die who were known for Young Life?;Place
urn:LCQuAD:id:2498;List the home town of the people who have Ontario as one of it ?;Place
urn:LCQuAD:id:3331;Name the wine regions of Bogdanua ?;Place
urn:LCQuAD:id:4667;What are on the borders of Shimsa Plateau?;Place
urn:LCQuAD:id:2602;What are the bridges whose located in California?;Place
urn:LCQuAD:id:4023;Which settelment area is the home town of the Danny Felice and Cline Buckens?;Place
urn:LCQuAD:id:1557;Which division of Serbia national team is also the region of Dobinsk Ice Cave ?;Place
urn:LCQuAD:id:3646;List the destination of Novair International Airways ?;Place
urn:LCQuAD:id:3148;Name the river with source as Columbia Lake and river mouth is located in Clatsop Country ?;Place
urn:LCQuAD:id:2732;What is the layout of Subaru Legacy (second generation) ?;Place
urn:LCQuAD:id:2970;Name the city with leader as Esther Alder and neighboring municipality as Pregny-Chambsy?;Place
