question,questionText,type
urn:QALD:id:1,List all boardgames by GMT.,http://dbpedia.org/ontology/Activity
urn:QALD:id:290,List all games by GMT.,http://dbpedia.org/ontology/Activity
urn:QALD:id:4,In which U.S. state is Area 51 located?,http://dbpedia.org/ontology/Place
urn:QALD:id:6,Which countries have places with more than two caves?,http://dbpedia.org/ontology/Place
urn:QALD:id:7,Where did Abraham Lincoln die?,http://dbpedia.org/ontology/Place
urn:QALD:id:8,Which airports does Air China serve?,http://dbpedia.org/ontology/Place
urn:QALD:id:16,Which state of the USA has the highest population density?,http://dbpedia.org/ontology/Place
urn:QALD:id:22,Which state of the United States of America has the highest density?,http://dbpedia.org/ontology/Place
urn:QALD:id:25,Which U.S. states are in the same timezone as Utah?,http://dbpedia.org/ontology/Place
urn:QALD:id:26,Which U.S. states possess gold minerals?,http://dbpedia.org/ontology/Place
urn:QALD:id:29,Show me all museums in London.,http://dbpedia.org/ontology/Place
urn:QALD:id:30,Which caves have more than 3 entrances?,http://dbpedia.org/ontology/Place
urn:QALD:id:36,Which states border Illinois?,http://dbpedia.org/ontology/Place
urn:QALD:id:38,Where did Hillel Slovak die?,http://dbpedia.org/ontology/Place
urn:QALD:id:45,Where do the Red Sox play?,http://dbpedia.org/ontology/Place
urn:QALD:id:47,Which volcanos in Japan erupted since 2000?,http://dbpedia.org/ontology/Place
urn:QALD:id:48,Which bridges cross the Seine?,http://dbpedia.org/ontology/Place
urn:QALD:id:55,Give me the capitals of all countries that the Himalayas run through.,http://dbpedia.org/ontology/Place
urn:QALD:id:57,Which rivers flow into a German lake?,http://dbpedia.org/ontology/Place
urn:QALD:id:59,Give me all islands that belong to Japan.,http://dbpedia.org/ontology/Place
urn:QALD:id:65,What is the highest place of the Urals?,http://dbpedia.org/ontology/Place
urn:QALD:id:68,Give me all world heritage sites designated within the past two years.,http://dbpedia.org/ontology/Place
urn:QALD:id:76,How many museums does Paris have?,http://dbpedia.org/ontology/Place
urn:QALD:id:77,Where was JFK assassinated?,http://dbpedia.org/ontology/Place
urn:QALD:id:81,To which countries does the Himalayan mountain system extend?,http://dbpedia.org/ontology/Place
urn:QALD:id:95,In which city was the former Dutch queen Juliana buried?,http://dbpedia.org/ontology/Place
