experiment,label,classLabel
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who owns Aldi?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all female German chancellors.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who was influenced by Socrates?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which books were written by Danielle Steel?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which countries have more than ten volcanoes?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all taikonauts.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who created English Wikipedia?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which beer brewing companies are located in North-Rhine Westphalia?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which countries are connected by the Rhine?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me a list of all critically endangered birds.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all chemical elements.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who was the father of Queen Elizabeth II?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which professional surfers were born on the Philippines?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which companies work in the aerospace industry as well as in medicine?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who were the parents of Queen Victoria?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who is the youngest player in the Premier League?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who is the daughter of Robert Kennedy married to?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who does the voice of Bart Simpson?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who founded Intel?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who was called Rodzilla?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who was the wife of President Lincoln?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which German cities have more than 250000 inhabitants?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which space probes were sent into orbit around the sun?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all gangsters from the prohibition era.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What is the highest volcano in Africa?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Show me all Czech movies.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all spacecrafts that flew to Mars.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Through which countries does the Yenisei river flow?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who was Tom Hanks married to?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all cars that are produced in Germany.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which politicians were married to a German?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which animals are critically endangered?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which U.S. state has the abbreviation MN?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which museum exhibits The Scream by Munch?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who are the parents of the wife of Juan Carlos I?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What is the name of the university where Obamas wife studied?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,In which city is the headquarter of Air China?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who became president after JFK died?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What was the name of the famous battle in 1836 in San Antonio?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which movies did Kurosawa direct?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all libraries established before 1400.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me the official websites of actors of the television show Charmed.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What is the atmosphere of the Moon composed of?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all Frisian islands that belong to the Netherlands.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who is the governor of Texas?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What languages are spoken in Pakistan?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which subsidiary of TUI Travel serves both Glasgow and Dublin?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who was on the Apollo 11 mission?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who is the daughter of Bill Clinton married to?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,In which studio did the Beatles record their first album?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all American presidents of the last 20 years.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Whom did Lance Bass marry?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who is the novelist of the work a song of ice and fire?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which daughters of British earls died at the same place they were born at?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Where does Piccadilly start?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What are the names of the Teenage Mutant Ninja Turtles?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which rivers flow into the North Sea?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who was called Scarface?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Where is Fort Knox located?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What are the nicknames of San Francisco?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,"Which airports are located in California, USA?",RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Who is the mayor of Berlin?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What is Angela Merkel’s birth name?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me the websites of companies with more than 500000 employees.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What is the profession of Frank Herbert?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which European countries have a constitutional monarchy?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which frequent flyer program has the most airlines?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all professional skateboarders from Sweden.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,What is the largest state in the United States?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Give me all Argentine films.,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which monarchs of the United Kingdom were married to a German?,RES
urn:experiment:7f8f2252e9bb41c79e70b86acc0e1b18,Which software has been published by Mean Hamster Software?,RES
