train,test,value,,,
CogComp,CogComp,"0,014",,Pearson's correlation,"-0,6196765015"
CogComp+SimpleQuestions,CogComp,"1,055",,,
CogComp+WebQuestions,CogComp,"0,123",,,
CogComp+WebQuestions+SimpleQuestions,CogComp,"1,009",,,
LC-QuAD,CogComp,"2,806",,,
LC-QuAD+CogComp,CogComp,"0,094",,,
LC-QuAD+CogComp+SimpleQuestions,CogComp,"0,962",,,
LC-QuAD+CogComp+WebQuestions,CogComp,"0,158",,,
LC-QuAD+CogComp+WebQuestions+SimpleQuestions,CogComp,"0,920",,,
LC-QuAD+QALD,CogComp,"1,264",,,
LC-QuAD+QALD+CogComp,CogComp,"0,102",,,
LC-QuAD+QALD+CogComp+SimpleQuestions,CogComp,"0,951",,,
LC-QuAD+QALD+CogComp+WebQuestions,CogComp,"0,166",,,
LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,CogComp,"0,911",,,
LC-QuAD+QALD+SimpleQuestions,CogComp,"1,856",,,
LC-QuAD+QALD+WebQuestions,CogComp,"0,550",,,
LC-QuAD+QALD+WebQuestions+SimpleQuestions,CogComp,"1,496",,,
LC-QuAD+SimpleQuestions,CogComp,"3,295",,,
LC-QuAD+WebQuestions,CogComp,"0,558",,,
LC-QuAD+WebQuestions+SimpleQuestions,CogComp,"1,536",,,
QALD,CogComp,"1,160",,,
QALD+CogComp,CogComp,"0,021",,,
QALD+CogComp+SimpleQuestions,CogComp,"1,039",,,
QALD+CogComp+WebQuestions,CogComp,"0,133",,,
QALD+CogComp+WebQuestions+SimpleQuestions,CogComp,"0,997",,,
QALD+SimpleQuestions,CogComp,"2,647",,,
QALD+WebQuestions,CogComp,"0,854",,,
QALD+WebQuestions+SimpleQuestions,CogComp,"2,043",,,
SimpleQuestions,CogComp,"17,127",,,
WebQuestions,CogComp,"1,090",,,
WebQuestions+SimpleQuestions,CogComp,"2,338",,,
CogComp,LC-QuAD,"7,105",,,
CogComp+SimpleQuestions,LC-QuAD,"6,890",,,
CogComp+WebQuestions,LC-QuAD,"6,439",,,
CogComp+WebQuestions+SimpleQuestions,LC-QuAD,"6,865",,,
LC-QuAD,LC-QuAD,"0,031",,,
LC-QuAD+CogComp,LC-QuAD,"0,274",,,
LC-QuAD+CogComp+SimpleQuestions,LC-QuAD,"1,026",,,
LC-QuAD+CogComp+WebQuestions,LC-QuAD,"0,326",,,
LC-QuAD+CogComp+WebQuestions+SimpleQuestions,LC-QuAD,"1,019",,,
LC-QuAD+QALD,LC-QuAD,"0,036",,,
LC-QuAD+QALD+CogComp,LC-QuAD,"0,254",,,
LC-QuAD+QALD+CogComp+SimpleQuestions,LC-QuAD,"0,997",,,
LC-QuAD+QALD+CogComp+WebQuestions,LC-QuAD,"0,312",,,
LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,LC-QuAD,"0,993",,,
LC-QuAD+QALD+SimpleQuestions,LC-QuAD,"1,279",,,
LC-QuAD+QALD+WebQuestions,LC-QuAD,"0,282",,,
LC-QuAD+QALD+WebQuestions+SimpleQuestions,LC-QuAD,"1,244",,,
LC-QuAD+SimpleQuestions,LC-QuAD,"1,333",,,
LC-QuAD+WebQuestions,LC-QuAD,"0,293",,,
LC-QuAD+WebQuestions+SimpleQuestions,LC-QuAD,"1,287",,,
QALD,LC-QuAD,"0,996",,,
QALD+CogComp,LC-QuAD,"1,294",,,
QALD+CogComp+SimpleQuestions,LC-QuAD,"1,536",,,
QALD+CogComp+WebQuestions,LC-QuAD,"0,762",,,
QALD+CogComp+WebQuestions+SimpleQuestions,LC-QuAD,"1,525",,,
QALD+SimpleQuestions,LC-QuAD,"2,374",,,
QALD+WebQuestions,LC-QuAD,"1,033",,,
QALD+WebQuestions+SimpleQuestions,LC-QuAD,"2,213",,,
SimpleQuestions,LC-QuAD,"16,320",,,
WebQuestions,LC-QuAD,"7,078",,,
WebQuestions+SimpleQuestions,LC-QuAD,"7,829",,,
CogComp,QALD,"1,230",,,
CogComp+SimpleQuestions,QALD,"1,530",,,
CogComp+WebQuestions,QALD,"1,074",,,
CogComp+WebQuestions+SimpleQuestions,QALD,"1,462",,,
LC-QuAD,QALD,"3,467",,,
