question;label;suggested
which game was published by hans im gl��ck;Activity;Work
where does luke odonnell belong;Activity;Agent
what league does tom gorman play on;Activity;Work
what event took place in the 2006 winter olympics;Activity;Event
What subject is the film the final season about?;Activity;Event
What is the name of a game that white wolf, inc. published?;Activity;Work
what engine family is the computer game  crafty apart of;Activity;Device
What is the film fresh about?;Activity;Work
What is a game that upper deck company published.;Activity;Work
What is the subject of the movie prison ball;Activity;Event
Which genre of netflix film is the mighty ducks?;Activity;TopicalConcept
what genre is the netflix title real, the movie;Activity;TopicalConcept
what kinds of movie is the bad news bears go to japan in netflix;Activity;TopicalConcept
What is an example of a board game that is also a strategy game?;Activity;Work
What is a game designed by klaus teuber?;Activity;Work
what category of game is pro evolution soccer 2010;Activity;Device
what is the genre of trick dribble?;Activity;TopicalConcept
What film was made in lost souls?;Place;Work
which netflix genre is  shaolin kung fu: convenience spade apart of;Place;TopicalConcept
What nation is yash a patnaik from?;Place;EthnicGroup
What genre is kasam suhaag ki under on netflix;Place;TopicalConcept
What was a location featured in  the faculty;Place;Work
what is the genre of the last round?;Place;TopicalConcept
What genre is the prodigal boxer in on netflix?;Place;TopicalConcept
what type of film is indian;Place;TopicalConcept
what is named after thomas sumter;Place;Work
What was the location that one take was released in?;Place;Work
Which netflix genre is superstars forever: vol. 2 from;Place;TopicalConcept
What is the origin of sirkus sirkuz;Place;EthnicGroup
What is a mission that sandra magnus took part in?;Place;Event
what are does the newspaper the oregonian service;Place;Work
what transit line has the stop haymarket;Place;Agent
What type of bridge is Truss Bridge?;Place;MeanOfTransportation
Who perished in rogelio a. gonz��lez;Place;Agent
what movie made road movie;Place;Work
what is the subject of the book the ice storm;Place;Event
which scottish industrial center was ralph brand born in;Place;Agent
What netflix genre is the title max manus: man of war in?;Place;MeanOfTransportation
what kind of movie is one step behind;Place;TopicalConcept
What is the netflix genre for monsieur ibrahim?;Place;Work
what is the subject of the book shock;Place;Event
what organizations have  rowing;Place;Agent
What was named after jacques la ramee;Place;Agent
What is ferenc farkas's profession;Place;EthnicGroup
what genre is the title the twilight;Place;MeanOfTransportation
What netflix genre is when the last sword is drawn found in;Place;MeanOfTransportation
what is neal stephenson;Place;Work
In what genre on netflix can godavari be found?;Place;TopicalConcept
which origin is from frankie miller;Place;EthnicGroup
hiroshima is considered to be what type of netflix genre;Place;TopicalConcept
what is the topic of the book teen idol?;Place;Work
what is something that richard norman shaw designed;Place;Work
what netflix genre is the film yerma?;Place;MeanOfTransportation
what topic is hole in one on;Place;Work
what is the subject of a suitable job for a woman;Place;Activity
what type of film is in my skin;Place;TopicalConcept
what fall is located in saratoga county;Place;Event
what is a subject in the book three gringos in venezuela and central america;Place;Work
what was involved in insurgency in the maghreb;Place;Event
what is the literary subject of the book?;Place;Work
What profession does Wim Ter Burg have?;Place;Agent
What is a featured film location from the dish & the spoon;Place;Work
What is the subject of the book titled the national geographic traveler.;Place;Work
What amusement park is silver star in;Place;Work
what is the subject of lois orswell, david smith, and modern art;Place;Work
What group was involved in the battle of fort albany;Place;EthnicGroup
what was the name of a location in the film back roads;Place;Work
what is a film location featured in mrs. santa claus;Place;Work
Which film did limuz��ns j����u nakts kr��s�� originate in;Place;Work
What is Yam Laranas' nationality?;Place;EthnicGroup
what kind of european is pedro sempson;Place;TopicalConcept
What type of Netflix Genre is Kitaro?;Place;TopicalConcept
what larger area was life goes on released in;Place;Work
what are subjects of wobegon boy;Place;Activity
in what section does danny lambert appear;Place;Work
What's a topic featured in silk flags and cold steel;Place;Work
Who presented the selma lagerl��f prize award;Place;Award
what entity was involved in  operation panther's claw;Place;Agent
which mission was christopher ferguson a part of;Place;Event
What's the topic of the book everglades;Place;Event
What was a featured film location from the film resurrection;Place;Work
what is the origin of kim heechul?;Place;EthnicGroup
What is the main topic of sister nations?;Place;Event
what subject is the crimean war written on;Place;Work
what is the october horse written about;Place;Work
what is discussed in inspector ghote plays a joker;Place;Work
What subject is trail of feathers on?;Place;AnatomicalStructure
what is the origin of so they say?;Place;EthnicGroup
what genre is the netflix film om;Place;MeanOfTransportation
what is a topic;Place;Work
Which netflix genre is 1428 found in;Place;TopicalConcept
what is the topic of the writing piece glanmor williams;Place;Work
what is the subject matter of egyptology: search for the tomb of osiris;Place;Work
what topic was allgemeine bauzeitung about;Place;Work
what was named after john hughes;Place;Work
What genre does the netflix title like water for chocolate belong to;Place;TopicalConcept
what kind of movie is thaka thimi tha;Place;TopicalConcept
What area was stay (i missed you) released?;Place;Work
What entity was involved with operation charnwood;Place;Agent
What genre on netflix is big john in?;Place;TopicalConcept
of what subject was benevolence and betrayal;Place;EthnicGroup
what is the culinary specialities;Place;Food
what is the topic of hostage to the devil;Place;Work
what is mary scheer's profession?;Place;Agent
what is the release region for  hard dance mania, volume 11;Place;Work
What is the subject of the book titled a history of florida forests;Place;Work
What court was rasul v. bush taken to?;Place;Agent
which genre in netflix is the last heroes of the peninsula under;Place;TopicalConcept
which netflix genre would kaho naa pyaar hai: disc 2: bonus material be under?;Place;TopicalConcept
What genre is sick nurses in?;Place;TopicalConcept
what's one of the filming locations used in coogan's bluff;Place;Work
what roller coaster is wooden;Place;Work
what's named after arba;Place;Agent
what genre is the netflix title my schoolmate, the barbarian;Place;TopicalConcept
whats the superior court of  wisconsin supreme court;Place;Agent
where was an all-4-one christmas released;Place;Work
What is the subject of living faith?;Place;EthnicGroup
which planet was dharma released on;Place;Work
What is the origin of freak kitchen?;Place;AnatomicalStructure
What is the source of the name saint bega;Place;Food
what is the subject in the queen elizabeth story;Place;Work
what is a name of an episode of seinfeld?;Place;Work
What nationality is Shizuka Kuda?;Place;EthnicGroup
what is the name given to john keats;Place;Work
Who lost the battle of old byland?;Place;Agent
what is the subject matter in the book lost geography;Place;Work
what subject is primarily discussed in rebecca of sunnybrook farm;Place;Work
What is paul kruger's namesake?;Place;Species
What is the netflix genre for the walking major?;Place;TopicalConcept
What kind of volcano is stratovolcano;Place;Work
where was creative artists agency founded;Place;Agent
what was written in euphorion;Place;Work
what minor planet is found in the solar system;Place;Agent
what is the topic of the book steam, politics and patronage;Place;Work
What is Sarah Elizabeth Foster's origin?;Place;EthnicGroup
name a person who was born in helena?;Place;Agent
what type of show is heroes of shaolin;Place;Work
what's one of the regions that sonic seasonings was released in;Place;Work
Where in spain was what the hell released from;Place;Work
what kind of film is apne;Place;TopicalConcept
What genre is strayed found under;Place;TopicalConcept
what are the track listings on sherlock holmes;Place;Work
what type of light was used in lighthouses constructed out of reinforced concrete;Place;MeanOfTransportation
what type of videogame is bank heist;Place;Device
which disease caused willem rooseboom's death;Place;Disease
what is the subject of blue days, black nights: a memoir?;Place;Work
What is the name of the post office in watkins glen, new york;Place;Agent
what are variable stars;Place;Work
what is a case known by the supreme court of canada;Place;Work
What is the subject of the life of david?;Place;AnatomicalStructure
What was the book test pilot written about;Place;Work
What nationality is Yahya Jammeh?;Place;EthnicGroup
what was ashok banker born;Place;Agent
what is an asteroid name;Place;Agent
what kind of film is the heart's movements;Place;TopicalConcept
where does the communist party of iran participate;Place;Event
where was design hotels founded;Place;Agent
algonquin legends is written about what?;Place;Work
What is the subject of the book titled government giveaways for entrepreneurs iv;Place;Work
What organization did josip broz tito found;Place;Agent
what is the topic of the standard code of parliamentary procedure;Place;Work
what court handled r. v. mann?;Place;Agent
What is the netflix genre for regrets?;Place;TopicalConcept
what is a subject of the exhibition of savannah, immortal city photography exhibit;Place;Work
what is the content material of walk around the west indies;Place;Work
what is the topic of white lies?;Place;Work
what is the topic of twisted;Place;Work
what is forkhead box d2;Place;Device
which project did the arquitectonica complete;Place;Event
What's a famous attraction in paris;Place;Event
who considers hizbul mujahideen a terrorist?;Place;EthnicGroup
which genre in netflix is love*com: the movie titled in?;Place;TopicalConcept
what is a featured location in the film satisfaction;Place;Work
what is another name for america where the progression through aggression ii was released;Place;Work
what topics are written about in oliver twist?;Place;Agent
What was robby kiger born?;Place;Agent
what is the topic of north;Place;Event
where was along came love released in;Place;Work
what type of Netflix genre is road, movie;Place;TopicalConcept
what's one of the broader topics of the american casino guide 2000;Place;Work
what kind of movie is nobody listened;Place;TopicalConcept
what was  baysonqors reason for death;Place;Disease
Which mission did jeffrey williams partake in?;Place;Event
what netflix genre is private collections in;Place;MeanOfTransportation
what is russian spacecraft pocket space guide about;Place;Work
what is the subject of the book the prettiest love letters in the world;Place;Work
what is the subject of the book the man who stayed behind;Place;Event
what attributes its namesake to herman stegeman?;Place;Agent
what entity was involved in the battle of albuera?;Place;Agent
What is something to do in adelaide;Place;Work
which genre of film is the green raytitled under in netflix?;Place;TopicalConcept
What is the subject of the book the one from the other;Place;Work
what genre on netflix is hello;Place;TopicalConcept
