experiment,label,classLabel
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who was the father of Queen Elizabeth II?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which countries are connected by the Rhine?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me all American presidents of the last 20 years.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me all chemical elements.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which professional surfers were born on the Philippines?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which companies work in the aerospace industry as well as in medicine?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me a list of all critically endangered birds.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who were the parents of Queen Victoria?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who was called Scarface?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who was on the Apollo 11 mission?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Where is Fort Knox located?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which rivers flow into the North Sea?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which subsidiary of TUI Travel serves both Glasgow and Dublin?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Whom did Lance Bass marry?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who is the daughter of Bill Clinton married to?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,What languages are spoken in Pakistan?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me all gangsters from the prohibition era.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,What is the highest volcano in Africa?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Show me all Czech movies.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me all spacecrafts that flew to Mars.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who was Tom Hanks married to?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who does the voice of Bart Simpson?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me all cars that are produced in Germany.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Through which countries does the Yenisei river flow?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who owns Aldi?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me all female German chancellors.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who was influenced by Socrates?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which books were written by Danielle Steel?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which countries have more than ten volcanoes?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me all taikonauts.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who created English Wikipedia?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which beer brewing companies are located in North-Rhine Westphalia?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,In which studio did the Beatles record their first album?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who is the youngest player in the Premier League?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who founded Intel?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who became president after JFK died?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which museum exhibits The Scream by Munch?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who is the novelist of the work a song of ice and fire?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who are the parents of the wife of Juan Carlos I?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,What is the largest state in the United States?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Which book has the most pages?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,What were the names of the three ships by Columbus?,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me the websites of companies with more than 500000 employees.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Give me the capitals of all countries in Africa.,RES
urn:experiment:da218335843d49009ddb09e1032b9bcc,Who was called Rodzilla?,RES
