experiment,label,classLabel
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name all the bands which have members of QDT in them.,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which footballers did their high school in west Sacramento california? ,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name few movies directed by Tim Burton ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Where was Live in Detroit, MI recorded ?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which successor of Philippine Ports Authority is the state of origin of Ruben J. Villote ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What awards have been won by the executive producer of Timmy Time ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,List the names of the soccer club seasons whose division is 2012 Campeonato Brasileiro Srie A.,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is the fictional character whose relative is Vestigial Peter?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name the alma mater of Ernest de Saisset ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is the owner of Saumarez ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is telecasted on the network where Deborah Turness holds important position?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,List the driver of SA MArino Grand Prix is also the Pole driver of Canadian Grand Proix ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Where does John A Danaher III work?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What magazine companies are of form Limited liability company?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name the municipality of Roberto Clemente Bridge ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which past members of the The Conglomerate (American group) also sang Take Me There (Blackstreet & Ma song)?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What are some apes?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is buried at the place governed by National Park Service?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Which military unit garrison is Arlington County, Virginia and The Pentagon?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name all the products produced by the producer of United States dollar ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,List all the notable works of  Russell T Davies?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"The successor of Ulrich II, Count of East Frisia was born in what place?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is the prime minister of Michael Jeffery who is also the minister of Williuam Deane ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which american football team is owned by Mark davis and is located in O.co Colliseum ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is considered to be the deciding person when it comes to crustaceans from the Balanidae family?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What have some US citizens died of?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is the owner of the FC which owns the Cobham Training Centre?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,List the television shows one of whose distributors divisions is Warner Bros. Animation.,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name the television show directed by Simon Fuller and judged by Jennifier Lopez ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is a common nickname given to both Lyons Township high school and the wheaton college in massachusetts?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Where do beauty queens with brown hair reside?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,in which movies have momoki kochi acted,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the base currency of the Benelux and is also used as money in Kerguelen Islands?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name the appointer of William Clark ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which owner of the national Herald india is the leader of Kumta ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the largest city of Pulau Ubin ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which Paramount TV show was produced by Glen and Les Charles ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name some basketball players who  have played for chicago bulls?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Horses sired by Karinga Bay have participated in which races?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the alma mater of the scientists  known for  String theory?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the origin of the musical artist of A Todo Romantic Style ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who are the producers of Marie Sisters?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who won the silver medal when the bronze was won by Yang Yilin?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,List the producer of the television shows distributed by FremantleMedia.,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name the awards won by Elie Wiesel ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the origin of Xynisteri?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who are currently playing for Barcelona FC?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"List the successor of successor of Hayden, Stone & Co.",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name the company founded in New Mexico and provides Outlook.com as services ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which tv show was preceded by The spirit of Christmas and voice to the character was given by Mona Marshall ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,List the mammals whose taxonomy is Diprotodontia and phylum is Chordate?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What made jo garcia and merritt cabal both famous?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What was the career of some people who have committed suicide?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Under which common jurisdiction do Trinity School, Brentwood and Buckhurst Hill County High School fall?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which researchers received fellowship from Royal Society?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which president of United States had vice president as John Adams?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is the founder of the trade union which affiliates Amalgamated Association of Iron and Steel Workers?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which leader of United States House of Representatives was the appinter of ohn Drayton ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the commander of Battle of Brownstown ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is Jon Speelman famous for?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Where was James H. Fields buried ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Where did the athlete start his career, who did his highschool in Red Lion Area School District?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name a person who works in Open Society Foundation and has wife named Susan Weber Soros ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"In which region is the rival school of Somerset, Massachusetts located?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which key person of Clinton Foundation is also the president of Jim Sasser ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which team won the American Football League?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which currency can I use both in Kerguelen islands and French southern and antarctic lands?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which fictional character sculpted by Josh Friedmann was portrayed in Terminator 3 ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,List presidents of the school whose one of the president is Charles. Prince of Wales ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Brian Moriarty designed video games written by whom?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Where did the 2015 MLS All-Star Game take place?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the name of the homeground of football team Panionios G.S.S.?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name the common associate band of Blayse and Teddy Riley ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What did Steven T Masons father die from?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What are some movies whose distributors are led by Kevin Tsujihara?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What company is the one which wrote the google web toolkit and PlayN?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which are the  automobile platform whose one of the automobile platform is Dodge ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is the fictional character whose family member is Padme Amidala?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Relatives of Moses used to follow which religions?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Where was Ne daj se, Nina first aired ?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,List some pupils of National Science Medal winning scientists?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which serving railway line of the Daund Junction railway station is the home port of INS Viraat ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Which river flows through Hudson Highlands State park and also through Troy, New york ?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Name the people whose academic advisor has also mentored the thesis of Alexius Meinong?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Where is Denver Broncos located ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which borough is common for Duddeston and Bordesley railway station ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is the performer of the album whose subsequent work is Willie Nelson and Family ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"What is the university to which Erica Frank went, and where Ivan Toplak was a club manager?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is the music composer of Kenny Dies ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Where did the office holder  who is predecessor to Marco Aurelio Robles died ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the launch site of Aquarius (rocket) ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What are the players whose former teams are Carolina Panthers and Indianapolis Colts?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What is the programme format of WWTR ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,list the founders of Bream Bay ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who is associated  with the musical artists from Africa 70 (band) and Tony Allen ?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"List some teams for which someone who has played as a defender, now plays?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Which rivers start from the Provinces of Zambia?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Raymond Johansen is the mayor of what city?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"What region was Gloria Schaffer born in, which also contains Newington?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,What are some dishes from the family of dishes which primarily use flour?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Which religion do the people follow, whose constituency is Jadavpur?",RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Who are the scientists known for the Manhattan Project?,RES
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Who is the producer of album, which has the song Eclipse ?",RES
