question;class
what character did natalie portman play in star wars?;None
what state does selena gomez?;ENTITY
what country is the grand bahama island in?;LOC
what character did john noble play in lord of the rings?;MOVIE
who does joakim noah play for?;ENTITY
where are the nfl redskins from?;SPORTS
where did saki live?;LOC
what two countries invaded poland in the beginning of ww2?;LOC
what time zone am i in cleveland ohio?;DATE-TIME
who did draco malloy end up marrying?;MOVIE
which countries border the us?;LOC
what is nina dobrev nationality?;LOC
what country does iceland belong to?;LOC
which kennedy died first?;ENTITY
what books did beverly cleary right?;LITERATURE
who is the prime minister of ethiopia?;HUMAN
what to see near sedona arizona?;LOC
what high school did president bill clinton attend?;COMPANY
what movies does taylor lautner play in?;MOVIE
what year lebron james came to the nba?;DATE
what did the german revolution lead to?;['base.wordnet.word']
how much did adriana lima gain during pregnancy?;TV
which wife did king henry behead?;MOVIE
who was ishmael's mom?;MOVIE
what was malcolm x trying to accomplish?;['common.topic', 'base.activism.activism_issue']
where are the netherlands on a world map?;LOC
what are the major cities in france?;LOC
what city did esther live in?;MOVIE
what sport do the toronto maple leafs play?;SPORTS
what is saint nicholas known for?;HUMAN
what is martin cooper doing now?;['http://www.w3.org/2000/01/rdf-schema#Class', 'freebase.type_profile']
what party was andrew jackson?;COMPANY
what is medicare a?;COMPANY
what is the name of the first harry potter novel?;MOVIE
what did william shakespeare do for a living?;HUMAN
what county is heathrow airport in?;LOC
where did dmitri mendeleev study science?;LOC
what is there to do in laredo tx?;LOC
what season did tony soprano get shot?;TV
where do the san francisco giants play home games?;LOC
what year did william jennings bryan run for president?;DATE-TIME
who was queen victoria's parents called?;HUMAN
what movies did sally field win an oscar for?;MOVIE
what is the first book sherlock holmes appeared in?;MOVIE
what type of car does michael weston drive?;MOVIE
where to exchange euros in pittsburgh?;LOC
what are the names of walt disney kids?;HUMAN
who is in the band bush?;HUMAN
what timezone is australia gmt?;None
who does maggie grace play in taken?;TV
what style of music did louis armstrong play?;MUSIC
when is summer in australia sydney?;LOC
what timezone is denver co?;DATE-TIME
what character did brian austin green play on 90210?;HUMAN
where does jackie french live?;LOC
what form of government was practiced in sparta?;POLITICS
who was peter parker's first girlfriend?;MOVIE
what college did matt lauer attend?;LOC
where to go in london england?;LOC
what school did joan miro attend?;None
where to get married in jacksonville nc?;LOC
what time zone am i in michigan?;DATE-TIME
when did the new york knicks win a championship?;DATE-TIME
what was woodrow wilson's major accomplishments?;POLITICS
where is jack daniels factory?;LOC
what language do the speak in pakistan?;LANG
where is santa clara university?;LOC
where did timothy mcveigh go to prison?;LOC
what sea does the yangtze river flow into?;['base.skosbase.skos_concept']
who miley cyrus engaged to?;ENTITY
what is charles darwin famous for?;['common.topic', 'base.wrestling.topic', 'base.wrestling.solo_wrestler_or_team']
what kind of money should i take to jamaica?;CURRENCY
who is robert downey jr wife?;TV
where do the ny rangers play?;LOC
where is jefferson davis buried?;LOC
what years have the dallas cowboys won the superbowl?;DATE
what awards has louis sachar won?;ENTITY
who are the current senators from missouri?;HUMAN
what is the best currency to take to egypt 2013?;CURRENCY
what are the countries in the united kingdom?;LOC
what planes does the navy have?;VEHICLE
where did benjamin franklin died?;LOC
what to do in cancun with family?;LOC
what is the local language of israel?;LANG
what city and state was the air force academy established?;LOC
what's the national sport of puerto rico?;SPORTS
what did shawnee smith play in?;MOVIE
what countries did queen victoria reign over?;LOC
where did dr seuss go to school?;LOC
what team does luis suarez play for?;ENTITY
what high school did tim allen go to?;COMPANY
what is the world's tallest building in dubai called?;['common.resource']
where does asiana airlines fly to?;LOC
where did martin luther king got shot?;LOC
where to visit near bangkok?;LOC
who does christina milian have a baby by?;HUMAN
what year did tut became king?;DATE-TIME
who has been married to julia roberts?;HUMAN
where do baltimore ravens play?;LOC
where does the un get its funding?;LITERATURE
who does brandon dubinsky play for?;ENTITY
what is the dominant language in israel?;LANG
what are the main languages of nigeria?;LANG
what jobs did ben franklin do?;['http://www.w3.org/2000/01/rdf-schema#Class', 'freebase.type_profile']
what bible does the catholic church follow?;LITERATURE
who did rufus wainwright married?;HUMAN
where did c.s. lewis go to college?;LOC
what did nick clegg study at university?;LITERATURE
what school did cassie bernall go to?;LOC
what movie did james frey write?;MOVIE
what did rob kardashian get surgery for?;HUMAN
what did st. matthew do?;LITERATURE
what was nelson mandela's religion?;RELIGION
who will win the 2011 nhl stanley cup?;LOC
what is henry clay known for?;DESCRIPTION
who did axl rose marry?;HUMAN
what is the money of spain called?;CURRENCY
where are sunbeam microwaves made?;LOC
who was elected president of the philippines?;ENTITY
what cities does ryanair fly to?;LOC
what currency does ontario canada use?;CURRENCY
what instrument does justin bieber?;MUSIC
what team did shaq play for first?;SPORTS
who do derek fisher play for?;ENTITY
where did the casey anthony case take place?;LOC
where did pres clinton go to college?;COMPANY
what was the name of the original seattle baseball team?;SPORTS
what type of monarchy did england have?;POLITICS
when were the texas rangers started?;DATE-TIME
where did the houston oilers football team go?;SPORTS
what do they call football in spanish?;['common.topic', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'broadcast.broadcast', 'broadcast.radio_station']
where does niles crane live?;LOC
where was gabriel faure born?;LOC
who is the governor of kentucky 2012?;HUMAN
who is the senator of the united states 2010?;HUMAN
what is the postcode for london?;LOC
who killed vincent chin dvd?;HUMAN
what other books did jules verne wrote?;LITERATURE
what language does fiji?;LANG
what is the second percy jackson book called?;LITERATURE
what did gregor mendel conducted his experiments on?;LITERATURE
who did jon gosselin cheat with?;HUMAN
where is jay cutler now?;ENTITY
what are eu countries?;LOC
what influenced vincent van gogh work?;HUMAN
what time zones are there in the us?;DATE-TIME
what language do australian people speak?;LANG
who did ben stiller play in megamind?;HUMAN
what countries did queen victoria rule?;LOC
who are betty white's parents?;HUMAN
who does david james play for 2011?;ENTITY
what was the purpose of the 1964 gulf of tonkin resolution?;None
what movies did diana ross play in?;LITERATURE
what country is the west bank located in?;LOC
who won golden boot?;ENTITY
where did jane mansfield die?;LOC
where is the thames river located?;LOC
what school did william shakespeare attend?;LOC
what money do they use in chile?;CURRENCY
what college did peyton manning?;ENTITY
what are the 2 conferences in the nfl?;COMPANY
when is portland marathon?;TV
what character does ellen play in finding nemo?;['common.topic', 'base.givennames.given_name', 'base.givennames.topic']
when was the last time the ny giants were in the super bowl?;TV
what are all the names of harry potter?;MOVIE
which airport is best to fly into milan?;LOC
where did matthias schleiden go to school?;LOC
what county is rihanna from?;LOC
what country is located in the balkan peninsula?;LOC
what 6 states border south dakota?;LOC
what are the main languages spoken in spain?;LANG
what songs did mozart write?;SCIENCE
who is the new senator of montana?;HUMAN
which airport to fly in rome?;LOC
where are the ruins of pompeii?;ART
what language people speak in afghanistan?;LANG
what cities should i visit in california?;LOC
