experiment,label,classLabel
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"What is the number of occupation of the people who died in tampa bay, florida?",NUM
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Give me everything owned by networks which is lead by Steve Burke?,NUM
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Essex the Ceremonial County of West Tilbury?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Does Mauritius follow a parliamentary republic?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is the Hyundai Lavita assembled in Kulim?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Andrew Lincoln the narrator of Million Dollar Traders?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is fox belong to the phylum of Chordate?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Henry Knox a commander of Continental Artillery Regiment?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is north caucasian emirate have an islamic government?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was John Muir the first one to ascend one of the peaks in the cathedral peak?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is George Lucas the cinematographer of 6-18-67?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was Tim Gunn a guest on The Broken Code?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Charles Drummond Ellis a doctoral student of James Chadwick?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Mike Babcock the head coach of Toronto Maple Leafs?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Egyptian Arabic belong to the Central Semitic Languages family?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,"Was Francisco Pizarro of the monarch of Charles 5, of the roman empire?",BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was Morrissey a member of the Smiths?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was Marshall Arisman the cover artist in american psycho?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Albert P Clark buried in Colorado?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Sloth in the Chordate phylum?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Christchurch the largest city of South Island?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was Heinrich Himmler ever a commanders of Army Group Oberrhein?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is greasy pop recording the distributor of festival records?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Latin the official language of Sovereign Military Order of Malta?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,does the US navy have the structure of command of us department of defence?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Anne Hidalgo the mayor of Paris?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is the Vadodara railway junction onwed by Indian Railway Ministry?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was andy warhol a part of Pop Art movement?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Did Bob Dylan write the lyrics of the times they are a changin?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Bakers Dozen Donuts in the coffee industry?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Nikolai Morozov the former coach of Stanislav Morozov?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was Elton John a chairman of a Watford FC Season?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was Cliff Burton in Metallica?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Brazilian jiu-jitsu the trainer of Nick Diaz?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Cologny a neighbouring city of Geneva?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was John Boehner the winner of the US House of Representatives elections in Ohio in 2010?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Hyundai Lavita assembled in Malaysia?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is semnani one of the languages spoken in Iran?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was John muir one of the first to ascend a mountain on Mt hoffmann?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is God Save the Queen the national anthem of United Kingdom?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was christina crawford trained by Booker T?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is the Hyundai Lavita assembled in Ulsan?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Does Faa International Airport serve tahiti too?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,is blue lagoon island a part of the bahamas achipelago?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Seattle the Ship builder of USS Marmora (IX-189)?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Peter Piper Pizza in the pizza industry?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is William H Blanchard buried in Colorado?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was Dont Bring Me Down recorded in West Germany?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Henry David Thoreau interested in Politics?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Tirana the largest city of Albania?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is Ombla originate in Croatia?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was James maker in the band Noko?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Was Nick Jonas a member of the Jonas Brothers?,BOOL
urn:experiment:c2ea875a4cb44909a3e8d0aa08630d0d,Is the book The Buddha and his Dhamma a book about Buddhism?,BOOL
