experiment,label,classLabel
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,Which book has the most pages?,RES
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,What is the founding year of the brewery that produces Pilsner Urquell?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When did the Boston Tea Party take place?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When did Paraguay proclaim its independence?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When was Jack Wolfskin founded?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When was the De Beers company founded?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When did princess Diana die?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When did Muhammad die?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,What is the revenue of IBM?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When did Michael Jackson die?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When did Finland join the EU?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When was Carlo Giuliani shot?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,What is the wavelength of Indigo?,NUM
urn:experiment:f3dd760a6cbc44b584ccab2c55f3eae8,When did Draculas creator die?,NUM
