question;questionText;type
urn:QALD:id:1;List all boardgames by GMT.;Activity
urn:QALD:id:290;List all games by GMT.;Activity
urn:QALD:id:4;In which U.S. state is Area 51 located?;Place
urn:QALD:id:6;Which countries have places with more than two caves?;Place
urn:QALD:id:7;Where did Abraham Lincoln die?;Place
urn:QALD:id:8;Which airports does Air China serve?;Place
urn:QALD:id:16;Which state of the USA has the highest population density?;Place
urn:QALD:id:22;Which state of the United States of America has the highest density?;Place
urn:QALD:id:25;Which U.S. states are in the same timezone as Utah?;Place
urn:QALD:id:26;Which U.S. states possess gold minerals?;Place
urn:QALD:id:29;Show me all museums in London.;Place
urn:QALD:id:30;Which caves have more than 3 entrances?;Place
urn:QALD:id:36;Which states border Illinois?;Place
urn:QALD:id:38;Where did Hillel Slovak die?;Place
urn:QALD:id:45;Where do the Red Sox play?;Place
urn:QALD:id:47;Which volcanos in Japan erupted since 2000?;Place
urn:QALD:id:48;Which bridges cross the Seine?;Place
urn:QALD:id:55;Give me the capitals of all countries that the Himalayas run through.;Place
urn:QALD:id:57;Which rivers flow into a German lake?;Place
urn:QALD:id:59;Give me all islands that belong to Japan.;Place
urn:QALD:id:65;What is the highest place of the Urals?;Place
urn:QALD:id:68;Give me all world heritage sites designated within the past two years.;Place
urn:QALD:id:76;How many museums does Paris have?;Place
urn:QALD:id:77;Where was JFK assassinated?;Place
urn:QALD:id:81;To which countries does the Himalayan mountain system extend?;Place
urn:QALD:id:95;In which city was the former Dutch queen Juliana buried?;Place
urn:QALD:id:102;Which countries adopted the Euro?;Place
urn:QALD:id:108;Which U.S. states are in the same time zone as Utah?;Place
urn:QALD:id:110;Which country has the most official languages?;Place
urn:QALD:id:113;Give me all libraries established earlier than 1400.;Place
urn:QALD:id:115;In which U.S. state is Mount McKinley located?;Place
urn:QALD:id:120;What is the highest mountain?;Place
urn:QALD:id:134;Which countries have more than two official languages?;Place
urn:QALD:id:135;Which countries have more than ten caves?;Place
urn:QALD:id:143;Give me a list of all lakes in Denmark.;Place
urn:QALD:id:145;Show me all English Gothic buildings in Kent.;Place
urn:QALD:id:147;In which countries can you pay using the West African CFA franc?;Place
urn:QALD:id:149;What is the longest river?;Place
urn:QALD:id:154;What is the smallest city by area in Germany?;Place
urn:QALD:id:165;What is the second highest mountain on Earth?;Place
urn:QALD:id:172;In which U.S. state is Fort Knox located?;Place
urn:QALD:id:173;Give me all cities in New Jersey with more than 100000 inhabitants.;Place
urn:QALD:id:174;Which mountains are higher than the Nanga Parbat?;Place
urn:QALD:id:189;What is the largest city in america?;Place
urn:QALD:id:196;Which airports does Yeti Airlines serve?;Place
urn:QALD:id:197;Where is the birthplace of Goethe?;Place
urn:QALD:id:201;What is the highest mountain in Saxony Germany?;Place
urn:QALD:id:203;In which country is Mecca located?;Place
urn:QALD:id:205;In which country does the Nile start?;Place
urn:QALD:id:206;In which state Penn State University is located?;Place
urn:QALD:id:207;What is the biggest stadium in Spain?;Place
urn:QALD:id:215;What is the location of the Houses of Parliament?;Place
urn:QALD:id:224;Which river does the Brooklyn Bridge cross?;Place
urn:QALD:id:231;Give me all launch pads operated by NASA.;Place
urn:QALD:id:237;Where is Sungkyunkwan University?;Place
