Number,question,Annotated Class,Manual Annotation,Remarks,class,Number of empty annotations: 0
1,how many teams are there in the ncaa football?,Number,"Number (Integer, Float, Salary, Height)",,SPORTS,
2,is this a fantom question,Boolean,"Boolean (True, False)",,BOOL,
3,what all does google have?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,"['common.topic', 'base.schemastaging.contact_product']",
4,what american penny is worth money?,Currency,Currency,,['common.topic'],
5,what are the best places to go in germany?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
6,what are the four harry potter house names?,Text,Text,,"['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'base.harrypotter.topic', 'fictional_universe.fictional_organization', 'base.harrypotter.hogwarts_house']",
7,what are the major imports and exports of canada?,,REMOVE,different types,"['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording']",
8,what are the major imports of the united states?,,REMOVE,different types,"['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording']",
9,what art movement was vincent van gogh apart of?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",,COMPANY,
10,what books did lincoln write?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",,LITERATURE,
11,what cancer did audrey hepburn died of?,Disease,Disease,,HUMAN,
12,what city was nelson mandela born in?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
13,what city was robert kennedy killed in?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
14,what college did joe montana play for?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,SPORTS,
15,what college did kevjumba?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,LOC,
16,what countries are included in the netherlands?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
17,what countries do people speak portuguese?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
18,what country did ponce de leon live in?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
19,what country is beside france?,Place,"Place (ArchitecturalStructure, CelestialBody, Cemetery, ConcentrationCamp, CountrySeat, Garden, HistoricPlace, Mine, Monument, NaturalPlace, Park, PopulatedPlace, ProtectedArea, SiteOfSpecialScientificInterest, WineRegion, WorldHeritageSite)",,LOC,
20,what currency do mexico use?,Currency,Currency,,CURRENCY,
21,what currency do the ukraine use?,Currency,Currency,,CURRENCY,
22,what currency does thailand use?,Currency,Currency,,CURRENCY,
23,what currency is used in hungary?,Currency,Currency,,CURRENCY,
24,what did brittany murphy died of?,Disease,Disease,,HUMAN,
25,what did cam newton do?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",,LITERATURE,
26,what did egyptians speak?,Language,Language (ProgrammingLanguage),,LANG,
27,what did kate winslet get an oscar for?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",,MOVIE,
28,what did neil say on the moon?,Text,Text,,"['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']",
29,what did richard nixon do for a living before he became president?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,['http://www.w3.org/2000/01/rdf-schema#Class'],
30,what did roger sherman do for a living?,Agent,"Agent (Deity, Employer, Family, Organisation, Person)",,POLITICS,
31,what disease did abe lincoln have?,Disease,Disease,,['base.skosbase.skos_concept'],
32,what do the buddha believe in?,TopicalConcept,"TopicalConcept (AcademicSubject, CardinalDirection, Fashion, Genre, Ideology, MathematicalConcept, PhilosophicalConcept, PoliticalConcept, ScientificConcept, Standard, SystemOfLaw, Tax, Taxon, TheologicalConcept, Type)",,LITERATURE,
33,what does a american rottweiler look like?,Colour,Colour,,LITERATURE,
34,what does annie leibovitz do?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",,HUMAN,
35,what does pixar produce?,Work,"Work (Artwork, Cartoon, CollectionOfValuables, Database, Document, Film, LineOfFashion, MusicalWork, RadioProgram, Software, TelevisionEpisode, TelevisionSeason, TelevisionShow, Website, WrittenWork)",,MOVIE,
36,what drugs were in whitney houston when she died?,ChemicalSubstance,"ChemicalSubstance (ChemicalCompound, ChemicalElement, Drug, Mineral)",,HUMAN,
